,Unnamed: 0,player_id,name,position,college,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic
1104,4355,2269,Dan Brandenburg,LB,Indiana St.,19960237,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6,254,9.25,23.1890411,31.25,4.59,36,24,4.32,125,7.245243902,11.87096618,
1105,4356,3157,Jerametrius Butler,DB,Kansas St.,20010145,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1.16,0,0,0,0,0,0,0,0,0,70,173,9.180858586,22.4109589,31.42202778,4.57,36,11,4.4,121,7.22,11.4970684,
1106,4358,15780,Anthony Morgan,WR,Tennessee,19910134,6,0,0,0,0,0,0,0,0,6,86,0,157,101,1434,12,15,250,0,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,1.246376812,0,2.275362319,1.463768116,20.7826087,0.173913043,0.217391304,3.623188406,0,0.086956522,0.579710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.4,195,9.13,23.44657534,32.5,4.55,31.5,14.91558442,4.29,116,6.993472585,11.55,
1107,4359,5737,Derrick Dockery,G,Texas,20030081,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,78,347,9.864050633,22.64657534,32.85608108,5.58,25,25.14720812,4.701460674,92,7.880350877,11.45,
1108,4362,5172,Bruce Davis,T-G,UCLA,20080088,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.63,252,9.9425,22.6630137,33.89451923,4.83,29,19,4.47,109,7.34,11.598,
1109,4394,1835,Ronald Blair,DE,Appalachian State (NC),20160142,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0.277777778,1.111111111,0.444444444,0,0,0,0,0,0,0,0,0,0,0,74.13,284,9.78304,23.28219178,33.42385246,5.15,30,32,4.53,113,7.95,11.87125,
1110,4402,8974,Chad Hansen,WR,California,20170141,1,0,0,0,0,0,0,0,0,0,0,0,5,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.75,202,9.290307692,22.29041096,31.66167364,4.53,35,11,4.13,119,6.74,11.49209302,
1111,4405,11935,Kevin Kasper,WR,Iowa,20010190,6,0,0,0,0,0,0,0,0,7,34,0,42,24,287,3,77,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179487179,0.871794872,0,1.076923077,0.615384615,7.358974359,0.076923077,1.974358974,47.92307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,199,9.290307692,23.34246575,31.66167364,4.44,43.5,14.91558442,3.73,126,6.56,11.49209302,
1112,4412,12105,Eric Kendricks,ILB,UCLA,20150045,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,193,94,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182926829,4.707317073,2.292682927,0.024390244,1.87804878,0,0,0,0,0,0,0,0,0,72.2,232,9.575971731,23.18082192,32.34203774,4.61,38,19,4.312656546,125,7.245243902,11.87096618,
1113,4418,21925,Tim Tebow,QB,Florida,20100025,3,192,408,2874,1969.7,19,9,46,286,212,1052,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.189189189,11.02702703,77.67567568,53.23513514,0.513513514,0.243243243,1.243243243,7.72972973,5.72972973,28.43243243,0.351351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,236,9.481704545,22.70410959,31.77426829,4.71,38.5,14.05263158,4.17,115,6.66,12.07,22
