,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,player_id,name,position,combine_player_ids,combine_combine_ids,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attemps,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic,Player,Pos,To,CarAV,DrAV,Age,Tm,Rnd,Pick,Year
61,58,58,234,8344,Barrett Green,LB,20000050,14435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,73,233,,22.47671233,,4.56,36,22,,120,,,,Barrett Green,LB,2005,20,16,22,DET,2,50,2000
62,59,59,239,24401,Martez Wilson,OLB,20110072,17639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,18,8,0,0,0,0,0,0,0,0,0,0,0,76,250,,22.61369863,,4.42,36,23,4.28,124,7.04,,,,,,,,,,,,
63,60,60,243,24297,Avery Williamson,ILB,20140151,18566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,219,128,2,0,0,0,0,0,0,0,0,0,0,73,246,,22.17808219,,4.66,30.5,25,4.07,120,7.11,,,,,,,,,,,,
64,61,61,244,2936,Bryan Bulaga,T,20100023,17091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,77.38,314,,21.10136986,,5.2,27.5,26,4.75,98,7.7,,,Bryan Bulaga,T,2021,56,53,21,GNB,1,23,2010
65,62,62,253,19031,Brian Rolle,LB,20110193,17567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,11,0,0,0,0,0,0,0,0,0,0,0,69.63,229,,22.44931507,,4.53,33,28,4.26,115,6.89,,,Brian Rolle,LB,2012,6,6,22,PHI,6,193,2011
66,63,63,266,1034,Marion Barber,RB,20050109,15684,0,0,0,0,0,0,0,0,74,317,3,0,25,209,1,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.38,221,,21.88493151,,4.53,40,20,,122,,,,,,,,,,,,,
67,64,64,267,20682,Kevin Smith,DB,19910929,11568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,194,9,24.06849315,30,4.79,34.5,5,4.09,112,,11.58,,Kevin Smith,DB,1999,38,38,22,DAL,1,17,1992
68,65,65,268,772,John Avery,RB,19980029,13676,0,0,0,0,0,0,0,0,150,527,2,28,16,115,2,76,1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.4,184,9.13,22.28219178,30.5,4.38,34.5,17,4.16,121,7.35,11.09,,John Avery,RB,2003,4,4,22,MIA,1,29,1998
69,66,66,270,15934,Randy Moss,WR,19980021,13847,4,8,106,672.8,2,1,0,0,26,173,0,1853,1036,16269,166,2,33,0,21,196,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,75.6,194,9.63,21.1890411,34,4.38,33,,4.17,117,7.19,11.87,17,,,,,,,,,,
70,67,67,271,9985,Drew Hodgdon,C,20050151,15804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.8,309,,23.45205479,,5.31,32,,4.45,108,7.49,,,Drew Hodgdon,C,2007,3,3,23,HOU,5,151,2005
71,68,68,272,1409,Josh Beekman,C-G,20070130,16257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,73.63,313,,23.84383562,,5.4,25.5,24,4.81,93,8.24,,,,,,,,,,,,
72,69,69,280,14098,Brandon Marshall,OLB,20120142,17833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,273,92,2,0,0,0,0,0,0,0,0,0,0,73.38,242,,22.64109589,,4.72,30.5,28,4.09,108,7.05,,,,,,,,,,,,
73,70,70,281,15657,Chris Moore,WR,20160107,19513,0,0,0,0,0,0,0,0,4,14,0,39,16,179,1,10,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,206,,22.88219178,,4.53,37,10,4.2,130,6.76,,,Chris Moore,WR,2021,4,4,23,BAL,4,107,2016
74,71,71,286,19792,Darrion Scott,DE,20040088,15598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,3,3,0,0,0,0,0,0,0,0,0,0,0,75.1,289,,22.51232877,,4.84,36.5,,4.32,118,,,,Darrion Scott,DE,2011,15,15,22,MIN,3,88,2004
